iter	Logloss
729	0.5863708896
730	0.5863434941
731	0.5863212585
732	0.5862986353
733	0.5862739929
734	0.5862304892
735	0.5861694973
736	0.5861377379
737	0.5861043717
738	0.5860839363
739	0.5860373887
740	0.5860048836
741	0.5859708159
742	0.5859324082
743	0.5859044513
744	0.5858784118
745	0.5858525222
746	0.5858171433
747	0.585783002
748	0.5857472526
749	0.5857124189
750	0.585680918
751	0.5856495574
752	0.5856198861
753	0.585591337
754	0.5855661534
755	0.5855413703
756	0.5855161447
757	0.5854933115
758	0.585459694
759	0.5854225447
760	0.5853904407
761	0.5853675302
762	0.5853278724
763	0.5853034435
764	0.5852563233
765	0.5852077138
766	0.5851823044
767	0.5851495611
768	0.5851159729
769	0.5850928106
770	0.585053577
771	0.5850305957
772	0.5850042791
773	0.5849669469
774	0.5849302783
775	0.5849063215
776	0.5848819366
777	0.5848400729
778	0.5848173141
779	0.5847814139
780	0.5847558134
781	0.5847383335
782	0.5846991174
783	0.5846761462
784	0.5846283904
785	0.5846064743
786	0.584585499
787	0.5845604451
788	0.5845306512
789	0.5845035573
790	0.5844838924
791	0.5844541289
792	0.5844224374
793	0.5843853553
794	0.5843375518
795	0.5843099688
796	0.5842792802
797	0.5842545662
798	0.5842279208
799	0.5842105082
800	0.5841919988
801	0.5841237655
802	0.5840950696
803	0.5840696447
804	0.5840403506
805	0.5840051464
806	0.5839684346
807	0.5839328247
808	0.5838891946
809	0.5838649691
810	0.5838427671
811	0.5838117511
812	0.5837884855
813	0.5837240786
814	0.5836803191
815	0.5836507177
816	0.5836196419
817	0.5835820327
818	0.5835444015
819	0.5835160118
820	0.5834830959
821	0.5834609295
822	0.5834325225
823	0.5834083161
824	0.5833894574
825	0.5833434692
826	0.5832857873
827	0.5832489078
828	0.5832104987
829	0.5831739455
830	0.5831348846
831	0.5831051554
832	0.5830840636
833	0.5830428286
834	0.5830127166
835	0.5829761105
836	0.5829341987
837	0.5829144895
838	0.5828930707
839	0.5828743067
840	0.5828376999
841	0.5828020538
842	0.5827828503
843	0.5827671817
844	0.5827462204
845	0.5827037731
846	0.5826734312
847	0.5826384322
848	0.5825613257
849	0.5825413348
850	0.5825220851
851	0.5824911203
852	0.582464021
853	0.5824366641
854	0.5824072588
855	0.5823826119
856	0.5823523512
857	0.5823326078
858	0.582313484
859	0.5822756469
860	0.5822530936
861	0.5822256628
862	0.5821930985
863	0.5821632002
864	0.5821098336
865	0.582086285
866	0.5820519906
867	0.5820128212
868	0.58198497
869	0.5819463786
870	0.5819323725
871	0.5819028861
872	0.5818750075
873	0.581844264
874	0.5818216621
875	0.5818039064
876	0.5817607738
877	0.5817330193
878	0.5817084013
879	0.581681807
880	0.5816523471
881	0.5815903119
882	0.5815645091
883	0.5815367093
884	0.5815149237
885	0.5814855482
886	0.5814555488
887	0.5814331035
888	0.5814143024
889	0.5813812326
890	0.5813563031
891	0.58133727
892	0.5813108148
893	0.5812744836
894	0.5812445453
895	0.5812123452
896	0.581179352
897	0.5811578673
898	0.5811357402
899	0.581111945
900	0.581079549
901	0.5810525083
902	0.5810295864
903	0.5810107284
904	0.580959039
905	0.5809273294
906	0.5808740955
907	0.5808510395
908	0.5808194778
909	0.5807787463
910	0.5807578401
911	0.5807338954
912	0.5806908502
913	0.5806649835
914	0.5806215737
915	0.5805854041
916	0.5805630333
917	0.5805278539
918	0.5804964354
919	0.5804549467
920	0.5804207273
921	0.5803962656
922	0.5803658636
923	0.5803441442
924	0.5803128855
925	0.5802910114
926	0.5802577732
927	0.5802283455
928	0.5801880658
929	0.5801536817
930	0.5801313318
931	0.5801015275
932	0.5800670323
933	0.5800366834
934	0.5799976678
935	0.5799755719
936	0.579952056
937	0.5799224076
938	0.5798975801
939	0.5798683005
940	0.5798488278
941	0.579827158
942	0.5798103205
943	0.579786165
944	0.579767593
945	0.5797279683
946	0.5797002007
947	0.5796486668
948	0.5796226023
949	0.5795936655
950	0.5795726028
951	0.5795540597
952	0.5795310633
953	0.5795037116
954	0.5794801152
955	0.5794573164
956	0.5794320744
957	0.5794011933
958	0.5793774554
959	0.5793440958
960	0.5792930442
961	0.579264113
962	0.5792375685
963	0.5792080785
964	0.5791874322
965	0.5791635039
966	0.5791346393
967	0.5791138472
968	0.5790838912
969	0.5790560808
970	0.5790360327
971	0.5789957026
972	0.5789366327
973	0.5789183891
974	0.5788780017
975	0.578852631
976	0.5788230968
977	0.5787936463
978	0.5787621891
979	0.5787353445
980	0.5787091421
981	0.5786810629
982	0.5786509175
983	0.5786236671
984	0.5785971519
985	0.5785581588
986	0.5785341321
987	0.5785080913
988	0.5784902347
989	0.5784656085
990	0.5784492111
991	0.5784131189
992	0.578378312
993	0.5783480554
994	0.578287442
995	0.5782577245
996	0.5782347577
997	0.5782029943
998	0.5781875888
999	0.5781628838
